evidence_bucket,next_recovery_track,followup_tier,game_name,developer,game_url,canonical_game_key,best_rank,top_n_appearances,first_seen_date,last_seen_date,listing_play_count_rows,max_play_count_observed,page_gap_status,alternate_endpoint_cdx_rows,count_source_probe_status,endpoint_observations,candidates_with_cdx_rows,unresolved_failed_endpoints,recovered_count_rows,observed_categories,category_tags,platform_flags,facebook_social_candidate,classification_confidence,classification_signals,likely_added_date,likely_added_date_confidence,current_live_metric_status,latest_live_metric_attempt_date,removal_evidence_status,removal_evidence_type,observed_removed_after_date,observed_removed_by_date,removal_confidence,profile_bucket,recommended_next_action
dynamic_placeholder_endpoint_archives_no_count,"Inspect archived endpoint HTML/list payloads and broaden to category, search, and developer listings.",1,Make Me 10,LinhVo1611,http://www.kongregate.com/games/LinhVo1611/make-me-10,www.kongregate.com/games/linhvo1611/make-me-10,1,1,2017-05-16,2017-05-16,0,0,dynamic_metrics_placeholder,99,archived_endpoint_hit_no_count,30,15,0,0,,,,no,,,2017-05-16,observed_first_seen_not_launch_date,live_metrics_failed_http_404,2026-07-01,live_metrics_unavailable,http_404,2017-05-16,2026-07-01,low_game_page_not_verified,top_20_ranked_count_gaps_no_metrics,Escalate to alternate list/external sources; archived HTML defers counts to metrics.json and exact metrics endpoints have no CDX rows.
dynamic_placeholder_endpoint_archives_no_count,"Inspect archived endpoint HTML/list payloads and broaden to category, search, and developer listings.",1,Key to Success,SamuelVenable,http://www.kongregate.com/games/SamuelVenable/key-to-success,www.kongregate.com/games/samuelvenable/key-to-success,1,1,2017-05-25,2017-05-25,0,0,dynamic_metrics_placeholder,5,archived_endpoint_hit_no_count,9,5,0,0,,,,no,,,2017-05-25,observed_first_seen_not_launch_date,live_metrics_failed_http_404,2026-07-01,live_metrics_unavailable,http_404,2017-05-25,2026-07-01,low_game_page_not_verified,top_20_ranked_count_gaps_no_metrics,Escalate to alternate list/external sources; archived HTML defers counts to metrics.json and exact metrics endpoints have no CDX rows.
dynamic_placeholder_endpoint_archives_no_count,"Inspect archived endpoint HTML/list payloads and broaden to category, search, and developer listings.",1,Missiles Again,mafagames,http://www.kongregate.com/games/mafagames/missiles-again,www.kongregate.com/games/mafagames/missiles-again,1,1,2017-05-26,2017-05-26,0,0,dynamic_metrics_placeholder,786,archived_endpoint_hit_no_count,75,50,0,0,,,,no,,,2017-05-26,observed_first_seen_not_launch_date,live_metrics_failed_http_404,2026-07-01,live_metrics_unavailable,http_404,2017-05-26,2026-07-01,low_game_page_not_verified,top_20_ranked_count_gaps_no_metrics,Escalate to alternate list/external sources; archived HTML defers counts to metrics.json and exact metrics endpoints have no CDX rows.
dynamic_placeholder_endpoint_archives_no_count,"Inspect archived endpoint HTML/list payloads and broaden to category, search, and developer listings.",1,The Space Commando,Eternal_Vanguard,http://www.kongregate.com/games/Eternal_Vanguard/the-space-commando,www.kongregate.com/games/eternal_vanguard/the-space-commando,1,1,2017-08-17,2017-08-17,0,0,dynamic_metrics_placeholder,2,archived_endpoint_hit_no_count,13,2,0,0,,,,no,,,2017-08-17,observed_first_seen_not_launch_date,live_metrics_failed_http_404,2026-07-01,live_metrics_unavailable,http_404,2017-08-17,2026-07-01,low_game_page_not_verified,top_20_ranked_count_gaps_no_metrics,Escalate to alternate list/external sources; archived HTML defers counts to metrics.json and exact metrics endpoints have no CDX rows.
dynamic_placeholder_endpoint_archives_no_count,"Inspect archived endpoint HTML/list payloads and broaden to category, search, and developer listings.",1,Run Bird Run Online,mafagames,http://www.kongregate.com/games/mafagames/run-bird-run-online,www.kongregate.com/games/mafagames/run-bird-run-online,1,1,2017-08-25,2017-08-25,0,0,dynamic_metrics_placeholder,785,archived_endpoint_hit_no_count,75,49,0,0,,,,no,,,2017-08-25,observed_first_seen_not_launch_date,live_metrics_failed_http_404,2026-07-01,live_metrics_unavailable,http_404,2017-08-25,2026-07-01,low_game_page_not_verified,top_20_ranked_count_gaps_no_metrics,Escalate to alternate list/external sources; archived HTML defers counts to metrics.json and exact metrics endpoints have no CDX rows.
dynamic_placeholder_endpoint_archives_no_count,"Inspect archived endpoint HTML/list payloads and broaden to category, search, and developer listings.",1,Surrounded,JasonNumberXIII,https://www.kongregate.com/games/JasonNumberXIII/surrounded,www.kongregate.com/games/jasonnumberxiii/surrounded,1,1,2021-11-12,2021-11-12,0,0,dynamic_metrics_placeholder,796,archived_endpoint_hit_no_count,112,80,0,0,,,,no,,,2021-11-12,observed_first_seen_not_launch_date,live_metrics_failed_http_404,2026-07-01,live_metrics_unavailable,http_404,2021-11-12,2026-07-01,low_game_page_not_verified,top_20_ranked_count_gaps_no_metrics,Escalate to alternate list/external sources; archived HTML defers counts to metrics.json and exact metrics endpoints have no CDX rows.
dynamic_placeholder_endpoint_archives_no_count,"Inspect archived endpoint HTML/list payloads and broaden to category, search, and developer listings.",1,cuube,dmarcy,http://www.kongregate.com/games/dmarcy/cuube,www.kongregate.com/games/dmarcy/cuube,2,1,2014-09-26,2014-09-26,0,0,dynamic_metrics_placeholder,3,archived_endpoint_hit_no_count,36,3,0,0,,,,no,,,2014-09-26,observed_first_seen_not_launch_date,live_metrics_failed_http_404,2026-07-01,live_metrics_unavailable,http_404,2014-09-26,2026-07-01,low_game_page_not_verified,top_20_ranked_count_gaps_no_metrics,Escalate to alternate list/external sources; archived HTML defers counts to metrics.json and exact metrics endpoints have no CDX rows.
dynamic_placeholder_endpoint_archives_no_count,"Inspect archived endpoint HTML/list payloads and broaden to category, search, and developer listings.",1,Nowere Safe 3,LexZ1,http://www.kongregate.com/games/LexZ1/nowere-safe-3,www.kongregate.com/games/lexz1/nowere-safe-3,2,1,2014-10-29,2014-10-29,0,0,dynamic_metrics_placeholder,2,archived_endpoint_hit_no_count,27,2,0,0,,,,no,,,2014-10-29,observed_first_seen_not_launch_date,live_metrics_failed_http_404,2026-07-01,live_metrics_unavailable,http_404,2014-10-29,2026-07-01,low_game_page_not_verified,top_20_ranked_count_gaps_no_metrics,Escalate to alternate list/external sources; archived HTML defers counts to metrics.json and exact metrics endpoints have no CDX rows.
dynamic_placeholder_endpoint_archives_no_count,"Inspect archived endpoint HTML/list payloads and broaden to category, search, and developer listings.",1,Elsa And Anna Chinese Dress Up,game4joy,http://www.kongregate.com/games/game4joy/elsa-and-anna-chinese-dress-up,www.kongregate.com/games/game4joy/elsa-and-anna-chinese-dress-up,2,1,2015-04-01,2015-04-01,0,0,dynamic_metrics_placeholder,479,archived_endpoint_hit_no_count,81,55,0,0,,,,no,,,2015-04-01,observed_first_seen_not_launch_date,live_metrics_failed_http_404,2026-07-01,live_metrics_unavailable,http_404,2015-04-01,2026-07-01,low_game_page_not_verified,top_20_ranked_count_gaps_no_metrics,Escalate to alternate list/external sources; archived HTML defers counts to metrics.json and exact metrics endpoints have no CDX rows.
dynamic_placeholder_endpoint_archives_no_count,"Inspect archived endpoint HTML/list payloads and broaden to category, search, and developer listings.",1,changetype(),inventor_123,http://www.kongregate.com/games/inventor_123/changetype,www.kongregate.com/games/inventor_123/changetype,2,1,2015-09-30,2015-09-30,0,0,dynamic_metrics_placeholder,2,archived_endpoint_hit_no_count,40,1,0,0,,,,no,,,2015-09-30,observed_first_seen_not_launch_date,live_metrics_failed_http_404,2026-07-01,live_metrics_unavailable,http_404,2015-09-30,2026-07-01,low_game_page_not_verified,top_20_ranked_count_gaps_no_metrics,Escalate to alternate list/external sources; archived HTML defers counts to metrics.json and exact metrics endpoints have no CDX rows.
